,Education,NumSkills,WorkExperience,StartDates,EndDates
82,Bachelors,7,"['Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['03-2007', '06-2010', '09-2013', '10-2015', '10-2017']","['06-2010', '09-2013', '10-2015', '10-2017', '01-2019']"
83,Bachelors,11,"['Specialist', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['05-2007', '02-2012', '04-2009', '05-2013', '09-2015', '06-2018', '04-2016']","['03-2009', '11-2012', '03-2013', '09-2015', '01-2016', '11-2018', '01-2019']"
84,Bachelors,0,"['Senior', 'Junior', 'Worker', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['06-2003', '08-2007', '01-2008', '01-2008', '03-2008', '10-2009', '10-2009', '04-2011', '10-2011', '10-2013']","['04-2007', '01-2008', '03-2008', '10-2009', '10-2009', '04-2011', '04-2011', '10-2011', '10-2013', '01-2019']"
85,Masters,5,"['Junior', 'Junior', 'Junior', 'Junior', 'Specialist', 'Worker', 'Junior', 'Junior']","['09-2010', '10-2011', '10-2012', '11-2014', '10-2015', '04-2017', '09-2017', '04-2018']","['10-2011', '10-2012', '11-2013', '10-2015', '04-2017', '09-2017', '04-2018', '01-2019']"
86,Masters,1,"['Worker', 'Worker', 'Senior', 'Senior', 'Specialist', 'Junior', 'Worker', 'Specialist', 'Worker', 'Specialist', 'Senior', 'Specialist']","['03-2004', '01-2006', '03-2007', '02-2008', '01-2011', '12-2012', '04-2015', '12-2015', '01-2016', '03-2016', '03-2017', '05-2018']","['11-2005', '06-2006', '01-2008', '07-2009', '08-2011', '04-2015', '12-2015', '01-2016', '03-2016', '05-2016', '08-2017', '09-2018']"
87,Bachelors,3,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist']","['01-1992', '01-1995', '01-2004', '01-2006', '01-2015', '01-2017', '01-2017']","['01-1995', '01-2004', '01-2006', '01-2015', '01-2017', '01-2017', '01-2018']"
88,Doctorate,5,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior']","['08-1994', '04-2003', '10-2011', '07-2013', '02-2015']","['12-2002', '06-2006', '06-2013', '12-2014', '01-2019']"
89,Masters,0,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist']","['08-1997', '03-1999', '06-2000', '04-2003', '01-2005', '12-2004', '05-2007']","['03-1999', '03-2000', '04-2003', '11-2004', '01-2006', '05-2007', '01-2019']"
90,Masters,3,"['Senior', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['08-2003', '09-2006', '10-2007', '02-2008', '06-2012', '01-2018']","['08-2006', '09-2007', '12-2010', '12-2010', '01-2018', '01-2019']"
91,Bachelors,14,"['Specialist', 'Senior', 'Specialist', 'Specialist']","['04-2006', '07-2010', '05-2008', '04-2013']","['10-2009', '03-2017', '06-2017', '12-2017']"
92,Doctorate,1,"['Specialist', 'Specialist', 'Junior', 'Specialist', 'Senior']","['01-1999', '01-2009', '01-2016', '06-2017', '03-2018']","['01-2009', '01-2016', '01-2017', '10-2017', '08-2018']"
93,Masters,8,"['Specialist', 'Senior', 'Senior', 'Junior']","['01-2003', '02-2006', '04-2013', '03-2017']","['02-2006', '04-2013', '03-2017', '01-2019']"
94,Masters,1,"['Specialist', 'Senior', 'Specialist', 'Junior', 'Junior']","['05-2012', '12-2013', '04-2014', '11-2016', '08-2017']","['12-2013', '01-2015', '10-2016', '05-2017', '01-2019']"
95,Doctorate,0,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior']","['12-1994', '12-1998', '02-2000', '07-2003', '10-2009', '02-2014', '10-2015', '05-2016', '10-2017']","['12-1998', '02-2000', '07-2003', '10-2007', '02-2014', '10-2015', '05-2016', '09-2017', '10-2018']"
96,Bachelors,5,"['Specialist', 'Junior', 'Specialist', 'Senior', 'Specialist', 'Specialist']","['07-2005', '04-2011', '06-2012', '10-2013', '04-2017', '11-2015']","['09-2010', '09-2011', '10-2013', '02-2014', '02-2018', '01-2019']"
97,Masters,5,"['Specialist', 'Specialist', 'Specialist', 'Worker', 'Specialist', 'Senior', 'Specialist', 'Specialist']","['06-2011', '08-2010', '01-2012', '06-2012', '11-2013', '06-2015', '03-2016', '12-2017']","['08-2011', '12-2011', '05-2012', '11-2013', '03-2014', '03-2016', '12-2017', '01-2019']"
98,Bachelors,5,"['Worker', 'Worker', 'Worker', 'Worker', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['10-1998', '04-1999', '04-2002', '05-2006', '03-2012', '09-2012', '01-2013', '05-2015', '10-2015', '06-2016']","['04-1999', '04-2002', '05-2006', '09-2008', '09-2012', '11-2012', '01-2015', '10-2015', '04-2016', '06-2018']"
99,Bachelors,2,"['Junior', 'Specialist', 'Senior', 'Junior', 'Specialist']","['01-2008', '01-2010', '01-2011', '01-2012', '01-2014']","['01-2009', '01-2011', '01-2012', '01-2014', '01-2017']"
100,None/Other,5,"['Specialist', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Senior', 'Senior']","['01-1990', '01-1995', '01-2002', '01-1998', '09-2008', '08-2010', '02-2016', '03-2016', '10-2016']","['01-1995', '01-1998', '01-2008', '06-2008', '08-2010', '04-2015', '03-2016', '10-2016', '01-2019']"
101,Masters,18,"['Specialist', 'Senior', 'Specialist', 'Specialist', 'Specialist']","['01-2005', '02-2008', '02-2008', '06-2013', '05-2016']","['01-2006', '04-2013', '04-2013', '04-2016', '01-2019']"
102,Masters,0,"['Worker', 'Specialist', 'Specialist', 'Specialist', 'Junior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Senior']","['01-1983', '01-1988', '01-1989', '01-1991', '01-1993', '01-1993', '01-1994', '01-1997', '01-2001', '01-2003', '01-2008', '07-2004', '01-2009', '01-2010', '05-2009', '09-2012', '05-2014', '01-2004', '01-2016']","['01-1983', '01-1989', '01-1991', '01-1993', '01-1993', '01-1994', '01-1997', '01-2001', '01-2003', '06-2004', '01-2008', '06-2008', '01-2009', '01-2010', '09-2012', '03-2014', '01-2016', '01-2019', '01-2019']"
103,None/Other,0,"['Senior', 'Senior', 'Senior', 'Specialist', 'Senior', 'Senior']","['01-2003', '01-2007', '01-2012', '01-2012', '01-2013', '01-2016']","['01-2009', '01-2009', '01-2012', '01-2013', '01-2016', '01-2019']"
104,Masters,0,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Senior']","['11-1999', '01-2003', '06-2009', '12-2010', '06-2011', '11-2012', '09-2013', '05-2014', '12-2014', '12-2015', '06-2017']","['10-2002', '06-2009', '11-2010', '06-2011', '11-2012', '09-2013', '05-2014', '12-2014', '12-2015', '06-2017', '01-2019']"
105,Masters,5,"['Specialist', 'Senior', 'Junior', 'Senior', 'Specialist']","['01-2008', '01-2007', '01-2012', '01-2013', '10-2015']","['01-2009', '01-2012', '01-2013', '01-2015', '09-2018']"
106,None/Other,2,"['Specialist', 'Junior', 'Specialist', 'Specialist', 'Specialist']","['01-2008', '06-2010', '06-2012', '05-2014', '11-2014']","['08-2008', '01-2012', '05-2014', '11-2014', '01-2019']"
107,Doctorate,0,"['Specialist', 'Senior', 'Worker', 'Junior', 'Worker', 'Specialist', 'Specialist']","['04-2004', '04-2003', '02-2005', '06-2008', '01-2011', '01-2015', '08-2011']","['02-2005', '10-2006', '06-2008', '01-2011', '08-2011', '01-2018', '01-2019']"
108,Masters,0,"['Senior', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['06-2009', '01-2011', '10-2010', '05-2011', '01-2013', '02-2012', '04-2013', '09-2013', '02-2016', '06-2018']","['09-2009', '01-2011', '01-2011', '10-2011', '01-2013', '02-2013', '06-2013', '02-2016', '06-2018', '01-2019']"
109,Bachelors,18,"['Worker', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Junior', 'Worker', 'Specialist', 'Specialist']","['03-2004', '07-2005', '04-2010', '01-2011', '11-2011', '03-2012', '02-2013', '02-2014', '07-2016']","['03-2009', '03-2009', '08-2010', '08-2011', '07-2012', '12-2012', '08-2013', '09-2015', '01-2019']"
110,Masters,0,"['Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Junior', 'Worker']","['03-2007', '09-2010', '06-2011', '02-2013', '03-2014', '08-2016', '02-2018', '07-2018']","['08-2007', '03-2011', '09-2011', '11-2013', '12-2015', '11-2016', '05-2018', '01-2019']"
111,Bachelors,0,"['Specialist', 'Specialist', 'Specialist', 'Specialist']","['01-2006', '01-2008', '01-2009', '01-2010']","['01-2007', '01-2009', '01-2010', '01-2018']"
112,Bachelors,5,"['Specialist', 'Specialist', 'Senior', 'Senior']","['03-2006', '01-2010', '11-2016', '06-2017']","['01-2010', '12-2015', '05-2017', '06-2018']"
113,Masters,0,"['Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Senior']","['05-2003', '05-2007', '05-2009', '06-2009', '08-2010', '09-2011', '07-2012', '03-2015']","['05-2007', '05-2009', '06-2010', '06-2010', '06-2011', '02-2012', '02-2015', '01-2019']"
114,Masters,5,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['01-2005', '01-2010', '01-2011', '01-2014', '01-2016']","['01-2011', '01-2011', '01-2013', '01-2016', '01-2019']"
115,Masters,58,"['Senior', 'Senior', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Senior']","['01-1996', '01-1997', '01-1994', '03-1999', '01-2004', '02-2005', '11-2008', '01-2005', '10-2015']","['01-1997', '01-1998', '01-2004', '01-2004', '01-2005', '11-2008', '12-2010', '10-2015', '01-2019']"
116,Masters,4,"['Specialist', 'Specialist', 'Junior', 'Junior', 'Specialist', 'Specialist']","['01-2003', '01-2004', '01-2011', '01-2002', '01-2014', '02-2018']","['01-2003', '01-2004', '01-2012', '01-2014', '02-2018', '10-2018']"
117,Masters,5,"['Specialist', 'Senior', 'Senior', 'Specialist', 'Senior', 'Worker', 'Junior', 'Specialist', 'Specialist']","['11-2006', '04-2007', '09-2009', '09-2010', '02-2011', '06-2012', '11-2015', '06-2016', '08-2016']","['03-2007', '08-2009', '08-2010', '02-2011', '06-2012', '04-2015', '05-2016', '08-2016', '01-2019']"
118,Masters,5,"['Specialist', 'Specialist', 'Specialist', 'Junior', 'Senior', 'Senior', 'Senior']","['06-1998', '01-1999', '07-2000', '02-2001', '04-2005', '06-2013', '07-2017']","['12-1998', '12-1999', '12-2000', '04-2005', '02-2013', '04-2017', '01-2019']"
119,Certificate,10,"['Specialist', 'Senior', 'Specialist', 'Specialist']","['06-2010', '09-2015', '06-2016', '12-2017']","['07-2015', '06-2016', '04-2017', '01-2019']"
120,None/Other,17,"['Senior', 'Senior', 'Senior', 'Senior', 'Specialist']","['11-1997', '03-2006', '11-2017', '03-2018', '08-2018']","['04-2003', '11-2017', '01-2019', '01-2019', '01-2019']"
121,Certificate,5,"['Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Specialist']","['01-2002', '01-2003', '01-2003', '01-2008', '01-2010', '08-2012', '01-2016']","['01-2003', '01-2006', '01-2006', '01-2010', '01-2012', '06-2018', '01-2019']"
122,Masters,12,"['Senior', 'Specialist', 'Senior', 'Senior']","['02-2007', '11-2011', '11-2013', '09-2015']","['10-2011', '11-2013', '05-2015', '01-2019']"
123,Doctorate,0,"['Worker', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Senior']","['12-2002', '08-2003', '07-2006', '01-2007', '01-2015', '01-2017', '04-2010']","['08-2003', '08-2004', '09-2006', '08-2009', '01-2015', '01-2017', '01-2019']"
124,Masters,5,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior']","['01-1975', '01-1982', '01-1984', '01-1985', '01-1988', '01-1996', '01-2007']","['01-1982', '01-1984', '01-1985', '01-1988', '01-1996', '01-2007', '01-2019']"
125,Masters,0,"['Specialist', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior']","['05-1988', '05-1993', '04-1995', '12-1996', '04-1997', '06-2001', '11-2003']","['05-1993', '09-1994', '08-1996', '04-1997', '06-2001', '11-2003', '01-2019']"
126,Bachelors,1,"['Senior', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Junior']","['06-2005', '07-2010', '08-2011', '01-2014', '01-2016', '03-2018']","['07-2009', '07-2011', '12-2013', '01-2016', '01-2019', '01-2019']"
127,None/Other,5,"['Specialist', 'Specialist', 'Junior', 'Worker', 'Specialist', 'Specialist', 'Senior', 'Senior']","['01-1993', '01-1996', '01-1997', '09-2000', '02-2003', '08-2006', '12-2007', '12-2007']","['01-1996', '01-1997', '01-2000', '02-2003', '07-2006', '12-2007', '08-2010', '06-2018']"
128,Masters,3,"['Senior', 'Specialist', 'Worker', 'Specialist', 'Specialist', 'Junior', 'Specialist', 'Specialist', 'Junior', 'Specialist', 'Specialist']","['01-1991', '01-2007', '01-2008', '05-2010', '03-2012', '01-2004', '08-2012', '10-2014', '01-2006', '08-2015', '11-2017']","['01-1992', '12-2008', '01-2010', '10-2011', '08-2012', '01-2014', '08-2014', '03-2015', '01-2017', '04-2017', '01-2019']"
129,Masters,1,"['Worker', 'Specialist', 'Specialist', 'Specialist']","['01-2006', '01-2014', '04-2017', '04-2018']","['01-2014', '03-2017', '03-2018', '01-2019']"
130,Certificate,0,"['Senior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Worker', 'Junior']","['10-2002', '04-2002', '01-2005', '01-2006', '05-2006', '08-2004', '04-2006', '05-2006', '01-2007', '05-2009', '01-2008', '11-2011', '04-2012', '08-2013', '08-2015']","['10-2002', '12-2003', '01-2005', '01-2006', '05-2006', '01-2007', '01-2007', '12-2007', '12-2007', '05-2009', '11-2011', '04-2012', '08-2015', '01-2019', '01-2019']"
131,Bachelors,5,"['Specialist', 'Senior', 'Specialist', 'Specialist']","['01-2014', '05-2012', '12-2017', '03-2016']","['05-2014', '04-2016', '05-2018', '01-2019']"
132,Masters,4,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['09-2008', '04-2015', '02-2016', '08-2017', '12-2017']","['04-2015', '01-2016', '07-2017', '12-2017', '01-2019']"
133,Bachelors,5,"['Specialist', 'Senior', 'Senior', 'Senior', 'Senior']","['02-2000', '10-2007', '06-2011', '01-2013', '05-2018']","['02-2007', '05-2011', '12-2012', '05-2018', '01-2019']"
134,None/Other,2,"['Specialist', 'Senior', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Senior']","['01-1991', '09-1994', '03-2003', '08-2003', '07-2005', '01-2007', '08-2007', '10-2009', '01-2011', '12-2016']","['09-1994', '03-2003', '08-2003', '10-2004', '01-2007', '08-2007', '10-2009', '01-2011', '12-2016', '01-2019']"
135,Masters,20,"['Specialist', 'Specialist', 'Senior']","['01-2004', '01-2012', '01-2013']","['01-2012', '01-2013', '07-2018']"
136,Masters,0,"['Senior', 'Specialist', 'Senior', 'Senior', 'Senior']","['05-2006', '08-2007', '06-2008', '01-2011', '06-2014']","['08-2007', '05-2008', '01-2011', '06-2014', '01-2019']"
137,Bachelors,0,"['Specialist', 'Senior', 'Junior']","['08-2014', '10-2016', '07-2017']","['05-2016', '07-2017', '01-2019']"
138,Masters,4,"['Specialist', 'Specialist', 'Specialist', 'Senior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist']","['01-1992', '01-1994', '01-1996', '01-1999', '01-2001', '01-2006', '01-2008', '01-2011', '01-2015', '01-2016']","['01-1994', '01-1996', '01-1999', '01-2001', '01-2006', '01-2007', '01-2010', '01-2014', '01-2016', '01-2019']"
139,Masters,5,"['Specialist', 'Specialist', 'Junior', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['01-2002', '01-2003', '01-2007', '01-2011', '06-2015', '11-2015', '02-2016', '05-2017']","['01-2002', '01-2004', '01-2011', '06-2015', '09-2015', '02-2016', '05-2017', '10-2017']"
140,Masters,3,"['Specialist', 'Junior', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Junior', 'Specialist', 'Specialist']","['06-1996', '08-1999', '07-2000', '01-2004', '11-2008', '08-2009', '11-2010', '03-2013', '02-2016']","['05-1999', '07-2000', '11-2003', '01-2008', '08-2009', '11-2010', '03-2013', '02-2016', '01-2019']"
141,Masters,1,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior']","['01-1979', '01-1993', '01-1996', '01-2001', '01-2005', '01-2003', '01-2007', '01-2012', '01-2015', '05-2017']","['01-1987', '01-1996', '01-2001', '01-2003', '01-2006', '01-2007', '01-2012', '01-2015', '01-2017', '01-2019']"
142,None/Other,0,"['Junior', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Specialist', 'Senior', 'Senior', 'Senior']","['02-1989', '05-1993', '07-1996', '01-2000', '02-2004', '04-2007', '12-2010', '02-1999', '09-2009', '04-2016']","['03-1991', '07-1996', '01-1999', '01-2004', '09-2006', '10-2008', '05-2011', '12-2011', '12-2011', '01-2018']"
143,Masters,5,"['Senior', 'Worker', 'Senior', 'Worker', 'Senior', 'Junior', 'Specialist', 'Specialist']","['02-2009', '11-2007', '05-2010', '01-2014', '08-2015', '12-2016', '09-2017', '04-2018']","['05-2010', '11-2011', '11-2011', '07-2015', '08-2016', '09-2017', '04-2018', '01-2019']"
144,Bachelors,14,"['Junior', 'Specialist', 'Specialist', 'Worker', 'Junior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['09-2000', '07-2007', '09-2008', '10-2010', '10-2011', '07-2013', '03-2014', '02-2016', '11-2016', '05-2018']","['06-2007', '09-2008', '10-2011', '05-2012', '07-2013', '03-2014', '01-2016', '11-2016', '01-2019', '01-2019']"
145,Bachelors,9,"['Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['01-2012', '01-2013', '01-2015', '01-2015', '01-2016', '01-2017', '01-2018']","['01-2012', '01-2015', '01-2015', '01-2016', '01-2017', '01-2018', '01-2019']"
146,None/Other,0,"['Worker', 'Senior', 'Senior', 'Worker', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Worker', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior']","['02-1987', '06-1989', '01-1991', '02-1987', '06-1991', '10-1994', '05-1995', '12-1995', '02-1996', '05-1995', '09-1997', '06-1999', '06-2002', '02-2004', '09-2008', '01-2009', '11-2011', '09-2015', '12-2015', '07-2017']","['06-1989', '01-1991', '06-1991', '10-1994', '10-1994', '05-1995', '02-1996', '02-1996', '09-1997', '06-1999', '06-1999', '06-2002', '02-2004', '08-2006', '11-2008', '09-2015', '09-2015', '12-2015', '07-2017', '01-2019']"
147,Masters,0,"['Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Junior', 'Senior']","['01-2000', '01-2004', '01-2006', '01-2008', '01-2011', '01-2012', '01-2013', '01-2015', '06-2016']","['01-2004', '01-2006', '01-2008', '01-2011', '01-2011', '01-2013', '01-2015', '01-2016', '01-2019']"
148,Associates,0,"['Specialist', 'Specialist', 'Specialist', 'Senior', 'Worker', 'Junior', 'Junior', 'Senior', 'Worker', 'Worker', 'Specialist', 'Worker', 'Worker', 'Worker', 'Worker', 'Senior', 'Junior', 'Worker']","['02-1998', '05-1999', '02-2000', '02-1998', '05-2000', '10-2005', '04-2006', '12-2008', '11-2010', '11-2012', '05-2014', '10-2013', '09-2014', '01-2015', '04-2016', '05-2017', '06-2017', '10-2017']","['09-1998', '01-2000', '04-2000', '05-2000', '08-2002', '03-2006', '02-2008', '10-2010', '09-2013', '09-2013', '08-2014', '10-2014', '01-2015', '01-2016', '03-2017', '06-2017', '09-2017', '01-2019']"
149,None/Other,2,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior']","['01-1990', '01-1991', '01-1993', '01-1998', '01-2003', '01-2011', '01-2003', '01-2014', '01-2016']","['01-1991', '01-1993', '01-1998', '01-2003', '01-2011', '01-2014', '01-2016', '01-2016', '01-2019']"
150,Certificate,6,"['Specialist', 'Junior', 'Senior', 'Junior', 'Junior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Junior', 'Senior', 'Senior', 'Senior', 'Specialist']","['07-1988', '09-1989', '04-1991', '11-1992', '02-1995', '08-1999', '09-2000', '10-2001', '07-2004', '02-2007', '04-2009', '11-2011', '01-2015', '04-2018']","['08-1989', '04-1991', '11-1992', '02-1995', '08-1999', '09-2000', '10-2001', '06-2004', '07-2006', '04-2009', '11-2011', '11-2014', '02-2018', '01-2019']"
